t,x,y,z
0.426504,0.023727,-0.025650,-0.994202
0.426550,0.024033,-0.025986,-0.994217
0.426588,0.024231,-0.026505,-0.994064
0.426627,0.024307,-0.027161,-0.993790
0.426669,0.024323,-0.027863,-0.993439
0.426707,0.024307,-0.028519,-0.993057
0.426743,0.024292,-0.029037,-0.992706
0.437570,0.024323,-0.029327,-0.992416
0.437680,0.024353,-0.029373,-0.992203
0.437708,0.024414,-0.029160,-0.992065
0.437734,0.024445,-0.028763,-0.992035
0.437760,0.024429,-0.028259,-0.992111
0.437792,0.024353,-0.027756,-0.992249
0.437822,0.024200,-0.027298,-0.992447
0.437850,0.023987,-0.027008,-0.992676
0.446278,0.023743,-0.026932,-0.992889
0.446389,0.023483,-0.027069,-0.993073
0.446457,0.023254,-0.027374,-0.993225
0.446508,0.023041,-0.027786,-0.993362
0.446572,0.022873,-0.028183,-0.993500
0.446642,0.022736,-0.028458,-0.993652
0.446702,0.022568,-0.028564,-0.993790
0.446756,0.022385,-0.028442,-0.993927
0.456219,0.022141,-0.028168,-0.994003
0.456310,0.021881,-0.027786,-0.994019
0.456338,0.021622,-0.027390,-0.993942
0.456363,0.021423,-0.027039,-0.993820
0.456387,0.021332,-0.026810,-0.993668
0.456418,0.021347,-0.026703,-0.993530
0.456444,0.021454,-0.026688,-0.993423
0.456468,0.021637,-0.026688,-0.993332
0.466255,0.021866,-0.026642,-0.993256
0.466320,0.022095,-0.026535,-0.993179
0.466385,0.022324,-0.026367,-0.993088
0.466438,0.022537,-0.026154,-0.992996
0.466488,0.022720,-0.025955,-0.992874
0.466625,0.022858,-0.025818,-0.992752
0.466658,0.022903,-0.025787,-0.992645
0.467000,0.022858,-0.025909,-0.992569
0.476262,0.022690,-0.026169,-0.992538
0.476401,0.022415,-0.026535,-0.992599
0.476471,0.022095,-0.026962,-0.992767
0.476524,0.021759,-0.027359,-0.993042
0.476563,0.021439,-0.027695,-0.993423
0.476603,0.021179,-0.027939,-0.993835
0.476639,0.020981,-0.028061,-0.994247
0.476675,0.020859,-0.028107,-0.994644
